"ID","timeout","settings.condition","myChoice","otherID","otherChoice","isOtherIn","experiment","counterbalancing","cooperation_N","cooperation_other","prediction_other_cooperate","prediction_other_cooperate_explanation","reverse_prediction_themselves_cooperate","reverse_prediction_themselves_cooperate_explanation","prediction_other_cooperate_if_saw","prediction_other_cooperate_if_saw_explanation","understood_payoffs","did_they_know","why_other_choice","play_coop_again_same","play_coop_again_diff","experience_econ_num","experience_econ_str","name_game","know_name_game","gender_reported","gender_prolific","gender_match","age_reported","age_prolific","age_match","time_choice","time_total","feedback_comments"
1,"none","TB6","A",12,"B",TRUE,1,1,0,1,0.89,"I think it will be different to my choice",0.51,"I really don't know",0.03,"so  they would get most money that is likely",FALSE,0.04,"they would have the choice to get more money",0.02,0,1,"Never","I don't know",0,"Female","Female",TRUE,38,38,TRUE,1.42056108333345,8.11331666666667,""
2,"none","TB2","A",8,"B",TRUE,1,1,0,1,0.66,"I think most people are quite trusting and would have faith that the other person would choose Option B, therefore both receiving a decent and equal payment.",0.66,"They probably think most people are fair and trustworthy, and Option B is the fairest choice for both of us. ",0.02,"Because they'd think I was being greedy by choosing option A, so they'd want to get their own back. And they'd also choose option one because that would give them more money than option two.",TRUE,0,"Because that was the fairest choice that would provide the biggest payout for both of us.",0,0,3,"A few times","Prisoner's Dilemma",1,"Female","Female",TRUE,33,33,TRUE,0.736794666666538,9.80458333333333,"N/A"
3,"none","TA7","A",13,"A",TRUE,1,0,1,1,0.78,"I think most people have a sense of fairness. While I would want to make more money, I also feel that both of us making the same amount is better.",1,"I think the other person would assume that I would choose the option that would make me the most money",1,"I think knowing that I chose A, meaning we would both get .50... They have higher odds of getting more money if they choose the same answer",TRUE,1,"I think it's a reasonable assumption to make that both parties want to make the most, but neither would only want to make .10 so the easist way to assure getting a higher amount would be if both chose A.",1,1,2,"Once","I don't know",0,"Female","Female",TRUE,44,44,TRUE,0.945460416666658,10.6199333333333,""
4,"none","TB0","B",27,"A",TRUE,1,1,1,0,0.61,"It makes the most logical sense, as we would both be guaranteed <U+00A3>0.50, however the other particpant may also choose to try and achieve the highest possible bonus maount for themselves.",0.34,"Same reasoning as the previous question, B makes logical sense but he may think that I intend to go for the highest possible bonus for myself.",0.92,"We would both get <U+00A3>0.50",TRUE,0.36,"To attempt to get the highest possible bonus for themself",0.1,0.85,3,"A few times","I don't know",0,"Male","Male",TRUE,22,22,TRUE,0.456238,5.25068333333333,"N/A
"
5,"none","TB5","B",NA,"B",FALSE,1,1,1,1,0.75,"Option B appears to be the optimal strategy for both participants - the strategy which delivers the most reward for both.",0.7,"I would like to think my fellow participant will think like me and choose option B which would be the optimal strategy resulting in a good reward for the both of us.",0.85,"It is highly likely that the participant would also choose option B as it would guarantee an outcome of 0.50 bonus for us both, whereas the other strategy's would result in a far less favourable outcome. ",TRUE,0.7,"They were likeminded and likely appreciated the fact that option B for both participants was optimal strategy that would result in the best outcome (0.50 bonus) for both participants. ",0.9,0.9,3,"A few times","Prisoner's Dilemma",1,"Male","Male",TRUE,22,23,TRUE,2.31960283333417,10.7196166666667,"Nop."
6,"none","TB3","B",10,"A",TRUE,1,1,1,0,0.86,"fairest choice and means both players benefit ",0.49,"first round so doesn't have anything to base his/her choose on",0,"ensures they get the most money, or we both get the same amount",TRUE,0.72,"so they get the more money",0.07,0.53,3,"A few times","Prisoner's Dilemma",1,"Male","Male",TRUE,19,19,TRUE,1.31395525000001,7.03171666666667,"good survey"
7,"none","TB7","B",29,"A",TRUE,1,1,1,0,0.62,"im just putting a bit of trust in them to choose the choice where we get equal amounts",0.59,"they are probably hoping like i am",0.51,"i have no idea",TRUE,0.73,"they wanted the heighest amount possible for them",0.27,0.78,1,"Never","I don't know",0,"Female","Female",TRUE,20,20,TRUE,5.10414024999992,13.7505833333333,"none"
8,"none","TB2","B",2,"A",TRUE,1,1,1,0,0.65,"Picking B is the ""safest"" choice to ensure we both get a fairly high bonus relative to the other options.",0.65,"As mentioned previously, B has the highest payout with minimal risk. The .50 payout, while not the highest possible is a lot better than the .20 and .10 options so it feels like the ""safest"". ",0.35,"If they can see I chose B, they know that if they select A they will receive a higher payout than if they selected B. As there is no way to communicate directly with the other participant, the action is consequence-free.",TRUE,0,"The other participant had an ""all-or-nothing"" approach and was okay with gambling on the amount.",0.1,1,1,"Never","I don't know",0,"Female","Female",TRUE,26,26,TRUE,0.20257233333347,13.16055,""
9,"none","TA5","B",16,"A",TRUE,1,0,0,1,0.66,"A because its more beneficial for both",0.82,"People won't think people would risk getting less when you could get equal",0.09,"They know my choice so they can choose the one that earns them more",TRUE,0.09,"Equal benefit for both when you dont know what the other will pick",0.25,0.81,2,"Once","I don't know",0,"Female","Female",TRUE,22,22,TRUE,1.43195175000001,5.60955,""
10,"none","TB3","A",6,"B",TRUE,1,1,0,1,0.4,"Just guessing",0.65,"They stand to gain more by choosing B",0.3,"To prevent me from getting more",TRUE,0.25,"So both of us could get a sizeable bonus",1,1,3,"A few times","I don't know",0,"Male","Male",TRUE,23,23,TRUE,0.103022916666669,6.0604,""
11,"none","TA3","A",18,"A",TRUE,1,0,1,1,1,"I think the other participant wants to be fair and give us an equal amount of money.",1,"They would assume I would want to be fair and give us maximum amount of money for an equal payout.",1,"I assume they would like to make sure we both get a fair deal. They might feel some guilt if they me going for A and just make it 50/50.",TRUE,1,"They just wanted to be cool. I don't think an extra 20 cents is worth being a jerk.",1,1,3,"A few times","Prisoner's Dilemma",1,"Male","Male",TRUE,35,35,TRUE,0.109334749999986,9.27983333333333,"I don't have any comments."
12,"none","TB6","B",1,"A",TRUE,1,1,1,0,0.32,"I think they will not want to risk the 0.10 reward. ",1,"I think they think I'll play it safe for the 0.50. ",1,"They'd get the highest reward",FALSE,0,"They were trying to maximize their reward based on guessing what I chose. ",1,1,2,"Once","I don't know",0,"Female","Female",TRUE,36,36,TRUE,0.294503166670135,6.73308333333333,""
13,"none","TA7","A",3,"A",TRUE,1,0,1,1,0.63,"benefiting both will help hence chose A expecting the other person would do the same",0.88,"May be he'll be happy to share .5 pounds hence he would think i chose A",0.97,"same reason as previous two",TRUE,0.5,"As I said, it's always better to share the rewards equally rather than being greedy.",1,1,3,"A few times","I don't know",0,"Male","Male",TRUE,24,24,TRUE,0.191171166666512,8.62133333333333,""
14,"none","TA1","A",17,"A",TRUE,1,0,1,1,0.87,"Seems the most fair, so I would hope others made the same choice.",0.83,"Again, seems the most fair so I would hope most people choose and expect others to choose A.",0.58,"I'd hope they'd choose where we both get the same, but I imagine some people might choose to take the higher amount if they see my choice in advance.",TRUE,0,"Seemed the most fair for everyone, less risk of a lower amount.",1,1,3,"A few times","I don't know",0,"Female","Female",TRUE,34,34,TRUE,0.232154333333407,8.60693333333333,""
15,"none","TA2","B",23,"B",TRUE,1,0,0,0,0.66,"they will be a little unsure as it's the first go ",0.53,"they won't be sure because it's the first go",0.52,"because it's the first go",TRUE,0.2,"because they weren't sure of the rules",0.85,0.85,1,"Never","I don't know",0,"Female","Female",TRUE,33,33,TRUE,0.531135916667215,11.1549333333333,"none"
16,"none","TA5","A",9,"B",TRUE,1,0,1,0,0.6,"It is the fairest option so I think it's slightly more likely, but of course I cannot be confident. ",0.6,"The same reasoning - the choice makes sense because it is the fairer option for both of us.",0.55,"If they could see that I chose the fairer option then perhaps they would be more inclined to choose it as well - but I'm less certain because then they would know for sure that they could get more money.",TRUE,0.25,"The chance of earning more money.",0.2,0.8,1,"Never","I don't know",0,"Female","Female",TRUE,21,21,TRUE,0.57098208333288,12.9239,""
17,"none","TA1","A",14,"A",TRUE,1,0,1,1,0.49,"I wanted to put 50% for each but it wouldnt let me continue unless i put a one sided answer so i went towards 51% they choose B because they could get a higher reward, and they dont know me",0.64,"Well i think im probably influenced by the fact i choose A, but i reckon theyll think i chose A",0.43,"they dont know me so they probably would go for the higher amount",TRUE,0.17,"Well i think they were thinking along the same lines that i did, in that if we both choose A we both get 50p",0.8,0.74,3,"A few times","I don't know",0,"Female","Female",TRUE,24,24,TRUE,2.50092741666595,10.29085,"Are you allowed to ask for date of birth?"
18,"none","TA3","A",11,"A",TRUE,1,0,1,1,0.75,"I believe the othere contestant will choose A since we both want to come out even at the start",0.85,"i think he also is thinking the same as me, both even.",0.7,"They would see that im willing to split the award down the middle",TRUE,0.8,"They were willing to split the reward.",0.75,0.3,2,"Once","I don't know",0,"Male","Male",TRUE,21,21,TRUE,1.3042459166667,8.5782,""
19,"none","TB1","B",28,"B",TRUE,1,1,1,1,0.65,"Option B would allow both of us to get an equal share only slighly lower than the maximum of <U+00A3>0.70.",0.3,"A lot of people would choose option A since it has the option of getting the highest bonus.",0.35,"Option A would gurantee them <U+00A3>0.70. When the decision has already been made there is less of a reliance and connection with the other participant and therefore they are more likely to take the money.",TRUE,0.15,"They relied on most people understanding that if everyone chose A they would have a high chance of getting less money than choosing B. ",1,1,3,"A few times","I don't know",0,"Male","Male",TRUE,23,23,TRUE,1.58822633333336,12.1816,""
20,"none","TA6","A",30,"A",TRUE,1,0,1,1,0.85,"I think they will choose A as it's more of an even spead",0.75,"They probably think I chose B as it will give them less",1,"It will give them more of a reason to choose ",TRUE,0.49,"It was the best outcome for both parties",1,0.85,1,"Never","I don't know",0,"Male","Male",TRUE,31,31,TRUE,0.250516666666667,7.71641666666667,""
21,"none","TB5","B",5,"B",TRUE,1,1,1,1,0.26,"I think they will choose the lesser amount to guarantee a medium outcome",0.31,"They will think i will do the same as them",0.91,"They will want a larger amount of money",TRUE,0.17,"to earn at least a medium amount and not the lowest amount",0.17,0.17,1,"Never","I don't know",0,"Female","Female",TRUE,56,56,TRUE,0.201455083332257,8.54281666666667,""
22,"none","TA0","A",24,"A",TRUE,1,0,1,1,0.82,"we both get the same return",0.9,"it's logical we both get a decent return",0,"they would earn more",TRUE,0.14,"I misunderstood this question. sorry",0.74,0.7,1,"Never","I don't know",0,"Male","Male",TRUE,59,59,TRUE,0.59087924999961,10.40855,""
23,"none","TA2","B",15,"B",TRUE,1,0,0,0,0.72,"I think they will choose A as they would receive more.",0.39,"I don't know.",0.23,"I think if they saw I chose B, the less rewarding option for myself they would be more likely to split the reward.",FALSE,0.39,"It was a higher reward for them.",0.74,0.36,2,"Once","I don't know",0,"Male","Male",TRUE,26,26,TRUE,1.54494899999991,9.87111666666667,"No"
24,"none","TA0","A",22,"A",TRUE,1,0,1,1,0.85,"It's a fair choice and it guarantees that we both recieve a nice bonus
",0.9,"They expect a fair agreement",0.9,"We both benefit from the bonus payment and therefore we are both happy with outcome",TRUE,0.95,"They wanted to gain the most amount of money that would be beneficial to both parties",1,1,2,"Once","I don't know",0,"Male","Male",TRUE,19,19,TRUE,2.4815,7.87376666666667,""
25,"none","TA4","B",31,"B",TRUE,1,0,0,0,0.05,"I believe it's because option B would likely give either of us the bigger amount of rewards and is the least risky option than choosing option A.",0.04,"I think that the other participant would likely be in the same kind of shoes as I am when choosing the best option.",0.01,"Since I chose option B, the other participant would choose the option which would give them more of the bonus money. Them choosing option B would give them 0.10 cents more than choosing option A.",TRUE,0.83,"I believe that them choosing option B would have them a better chance of getting the better bonus amount.",0.02,0.0600000000000001,1,"Never","I don't know",0,"Female","Female",TRUE,20,20,TRUE,0.982336666665893,18.8112666666667,"No comments to provide."
26,"none","TB4","B",NA,"B",FALSE,1,1,1,1,0.75,"I think they will choose B because it is the best chance of us both walking away with the most money.",0.75,"Same as before. I'm hoping that they logically see it is the best chance of us both achieving as much as possible.",0.4,"If they had the full information, they could easily get a larger reward.",TRUE,0.85,"For the same reason I did: They saw it as the choice that led to the highest cumulative reward.",1,1,2,"Once","Prisoner's Dilemma",1,"Male","Male",TRUE,26,26,TRUE,3.3311,9.16665,""
27,"none","TB0","A",4,"B",TRUE,1,1,0,1,0.1,"More money available if they choose option A",0.1,"20p minimum for option A with a chance of 70p. Option B however is either 10p or 50p. More money is available for A",0,"They would choose A as the most they can get is 20p rather than 10p",TRUE,0,"More money was available if both decided on B",1,0,1,"Never","I don't know",0,"Male","Male",TRUE,23,23,TRUE,0.328633083333262,6.77328333333333,""
28,"none","TB1","B",19,"B",TRUE,1,1,1,1,1,"Best payout for us both",1,"For the better payout",1,"Because cooperation benefits us both",TRUE,0,"To benefit us both",1,1,5,"Very Often","Money Game",0,"Male","Male",TRUE,22,22,TRUE,0.151823250000598,5.86911666666667,"This reminds me of the trust bot experiment, where an AI would play similar game based on your decisions with the intent to maximise their reward"
29,"none","TB7","A",7,"B",TRUE,1,1,0,1,0.2,"Because choosing option A gives you the higher amount in case the other participant choose option B but at the same time it guarantees you a smaller amount",0.2,"The other participant would think that I choose option A because he will choose the same",0.1,"It is more profitable in my opnion to choose option A",TRUE,0,"maybe they taught i choose option B which could give us equally 0.50, make sense to go that way but I wouldnt risk choosing that option",0,0.1,1,"Never","Monopoly",0,"Male","Male",TRUE,27,27,TRUE,2.39945,24.6279833333333,""
30,"none","TA6","A",20,"A",TRUE,1,0,1,1,0.6,"i am not entirely sure, there is the highest likely hood of each getting the highest amount with both picking A but they might also see that and see that I will pick A so they pick B to get more money",0.49,"They might think that I will just go for the larger sum, Although statistically what I think they picked should be similar to what I think they think I picked",0.6,"they might see that i have their interests in mind as well, as long as they aren't in it for the money I believe they split it
",TRUE,0.6,"The idea of between this kind of study has been seen more and more so they might have known to do option A, but also I believe that most people see humans as a generally good being naturally so doing the option for the greater sum and the best split would be choosen",1,0.75,3,"A few times","I don't know",0,"Male","Male",TRUE,22,22,TRUE,1.85325624999968,8.78146666666667,""
31,"none","TA4","B",25,"B",TRUE,1,0,0,0,0.32,"I think that most people will take the risk in an attempt to get more money, and fall back on a safer option if an initial gamble doesn't work.",0.36,"I think most people will go all in on the first choice for more money, so it makes sense to expect the same from me.",0.28,"This would give them the most money, as I doubt people who feel the need to choose an option which is better for both of us when they can instead get more money guaranteed. If theres a risk, then maybe not, but here there isnt, so I'd expect them to choose A.",TRUE,0.28,"I think that most people will risk the chance at more money in case the other person attempts to play it safe. I would expect the majority of people taking part to choose B.",0.71,0.29,3,"A few times","Money Game",0,"Male","Male",TRUE,19,19,TRUE,3.62790858333333,11.6565666666667,"I may have incorrectly typed 'A' instead of B on one of my responses: I meant that someone will go with the option that gives them the most money, so if I chose B and they knew it would be B, they would choose B for the maximum payout, not A as I think I said."
